Problem:    type2
  4871 bwcon[44,69]                0                          -0 
  4872 bwcon[44,70]                0                          -0 
  4873 bwcon[44,71]                0                          -0 
  4874 bwcon[44,72]                0                          -0 
  4875 bwcon[44,73]                0                          -0 
  4876 bwcon[44,74]                0                          -0 
  4877 bwcon[44,75]                0                          -0 
  4878 bwcon[44,76]                0                     51.1175 
  4879 bwcon[44,77]                0                     98.7159 
  4880 bwcon[44,78]                0                          -0 
  4881 bwcon[44,79]                0                     83.2914 
  4882 bwcon[44,80]                0                     68.4694 
  4883 bwcon[44,81]                0                          -0 
  4884 bwcon[44,82]                0                          -0 
  4885 bwcon[44,83]                0                          -0 
  4886 bwcon[44,84]                0                          -0 
  4887 bwcon[44,85]                0                          -0 
  4888 bwcon[44,86]                0                          -0 
  4889 bwcon[44,87]                0                          -0 
  4890 bwcon[44,88]                0                          -0 
  4891 bwcon[44,89]                0                          -0 
  4892 bwcon[44,90]                0                          -0 
  4893 bwcon[44,91]                0                          -0 
  4894 bwcon[44,92]                0                          -0 
  4895 bwcon[44,93]                0                          -0 
  4896 bwcon[44,94]                0                          -0 
  4897 bwcon[44,95]                0                     79.7077 
  4898 bwcon[44,96]                0                          -0 
  4899 bwcon[44,97]                0                          -0 
  4900 bwcon[44,98]                0                          -0 
  4901 bwcon[44,99]                0                          -0 
  4902 bwcon[45,0]                 0                          -0 
  4903 bwcon[45,1]                 0                          -0 
  4904 bwcon[45,2]                 0                          -0 
  4905 bwcon[45,3]                 0                          -0 
  4906 bwcon[45,4]                 0                          -0 
  4907 bwcon[45,5]                 0                          -0 
  4908 bwcon[45,6]                 0                     58.3638 
  4909 bwcon[45,7]                 0                          -0 
  4910 bwcon[45,8]                 0                          -0 
  4911 bwcon[45,9]                 0                          -0 
  4912 bwcon[45,10]                0                          -0 
  4913 bwcon[45,11]                0                          -0 
  4914 bwcon[45,12]                0                          -0 
  4915 bwcon[45,13]                0                     75.5081 
  4916 bwcon[45,14]                0                          -0 
  4917 bwcon[45,15]                0                          -0 
  4918 bwcon[45,16]                0                          -0 
  4919 bwcon[45,17]                0                      73.707 
  4920 bwcon[45,18]                0                          -0 
  4921 bwcon[45,19]                0                          -0 
  4922 bwcon[45,20]                0                          -0 
  4923 bwcon[45,21]                0                     50.7114 
  4924 bwcon[45,22]                0                          -0 
  4925 bwcon[45,23]                0                          -0 
  4926 bwcon[45,24]                0                          -0 
  4927 bwcon[45,25]                0                          -0 
  4928 bwcon[45,26]                0                          -0 
  4929 bwcon[45,27]                0                          -0 
  4930 bwcon[45,28]                0                          -0 
  4931 bwcon[45,29]                0                          -0 
  4932 bwcon[45,30]                0                          -0 
  4933 bwcon[45,31]                0                          -0 
  4934 bwcon[45,32]                0                          -0 
  4935 bwcon[45,33]                0                          -0 
  4936 bwcon[45,34]                0                          -0 
  4937 bwcon[45,35]                0                          -0 
  4938 bwcon[45,36]                0                          -0 
  4939 bwcon[45,37]                0                          -0 
  4940 bwcon[45,38]                0                          -0 
  4941 bwcon[45,39]                0                          -0 
  4942 bwcon[45,40]                0                          -0 
  4943 bwcon[45,41]                0                          -0 
  4944 bwcon[45,42]                0                          -0 
  4945 bwcon[45,43]                0                          -0 
  4946 bwcon[45,44]                0                          -0 
  4947 bwcon[45,45]                0                          -0 
  4948 bwcon[45,46]                0                          -0 
  4949 bwcon[45,47]                0                          -0 
  4950 bwcon[45,48]                0                          -0 
  4951 bwcon[45,49]                0                          -0 
  4952 bwcon[45,50]                0                          -0 
  4953 bwcon[45,51]                0                      85.853 
  4954 bwcon[45,52]                0                          -0 
  4955 bwcon[45,53]                0                          -0 
  4956 bwcon[45,54]                0                          -0 
  4957 bwcon[45,55]                0                          -0 
  4958 bwcon[45,56]                0                          -0 
  4959 bwcon[45,57]                0                          -0 
  4960 bwcon[45,58]                0                          -0 
  4961 bwcon[45,59]                0                          -0 
  4962 bwcon[45,60]                0                          -0 
  4963 bwcon[45,61]                0                          -0 
  4964 bwcon[45,62]                0                          -0 
  4965 bwcon[45,63]                0                          -0 
  4966 bwcon[45,64]                0                          -0 
  4967 bwcon[45,65]                0                          -0 
  4968 bwcon[45,66]                0                          -0 
  4969 bwcon[45,67]                0                     69.0213 
  4970 bwcon[45,68]                0                          -0 
  4971 bwcon[45,69]                0                          -0 
  4972 bwcon[45,70]                0                     82.6527 
  4973 bwcon[45,71]                0                          -0 
  4974 bwcon[45,72]                0                          -0 
  4975 bwcon[45,73]                0                          -0 
  4976 bwcon[45,74]                0                          -0 
  4977 bwcon[45,75]                0                          -0 
  4978 bwcon[45,76]                0                          -0 
  4979 bwcon[45,77]                0                     95.5407 
  4980 bwcon[45,78]                0                          -0 
  4981 bwcon[45,79]                0                          -0 
  4982 bwcon[45,80]                0                          -0 
  4983 bwcon[45,81]                0                          -0 
  4984 bwcon[45,82]                0                          -0 
  4985 bwcon[45,83]                0                          -0 
  4986 bwcon[45,84]                0                     58.6089 
  4987 bwcon[45,85]                0                          -0 
  4988 bwcon[45,86]                0                          -0 
  4989 bwcon[45,87]                0                          -0 
  4990 bwcon[45,88]                0                          -0 
  4991 bwcon[45,89]                0                          -0 
  4992 bwcon[45,90]                0                          -0 
  4993 bwcon[45,91]                0                          -0 
  4994 bwcon[45,92]                0                      62.536 
  4995 bwcon[45,93]                0                          -0 
  4996 bwcon[45,94]                0                          -0 
  4997 bwcon[45,95]                0                          -0 
  4998 bwcon[45,96]                0                          -0 
  4999 bwcon[45,97]                0                          -0 
  5000 bwcon[45,98]                0                          -0 
  5001 bwcon[45,99]                0                          -0 
  5002 bwcon[46,0]                 0                          -0 
  5003 bwcon[46,1]                 0                          -0 
  5004 bwcon[46,2]                 0                          -0 
  5005 bwcon[46,3]                 0                          -0 
  5006 bwcon[46,4]                 0                          -0 
  5007 bwcon[46,5]                 0                          -0 
  5008 bwcon[46,6]                 0                          -0 
  5009 bwcon[46,7]                 0                          -0 
  5010 bwcon[46,8]                 0                          -0 
  5011 bwcon[46,9]                 0                          -0 
  5012 bwcon[46,10]                0                          -0 
  5013 bwcon[46,11]                0                          -0 
  5014 bwcon[46,12]                0                          -0 
  5015 bwcon[46,13]                0                          -0 
  5016 bwcon[46,14]                0                          -0 
  5017 bwcon[46,15]                0                          -0 
  5018 bwcon[46,16]                0                          -0 
  5019 bwcon[46,17]                0                          -0 
  5020 bwcon[46,18]                0                          -0 
  5021 bwcon[46,19]                0                          -0 
  5022 bwcon[46,20]                0                          -0 
  5023 bwcon[46,21]                0                          -0 
  5024 bwcon[46,22]                0                          -0 
  5025 bwcon[46,23]                0                          -0 
  5026 bwcon[46,24]                0                          -0 
  5027 bwcon[46,25]                0                          -0 
  5028 bwcon[46,26]                0                          -0 
  5029 bwcon[46,27]                0                          -0 
  5030 bwcon[46,28]                0                     92.7538 
  5031 bwcon[46,29]                0                          -0 
  5032 bwcon[46,30]                0                          -0 
  5033 bwcon[46,31]                0                          -0 
  5034 bwcon[46,32]                0                          -0 
  5035 bwcon[46,33]                0                          -0 
  5036 bwcon[46,34]                0                     65.7709 
  5037 bwcon[46,35]                0                          -0 
  5038 bwcon[46,36]                0                          -0 
  5039 bwcon[46,37]                0                          -0 
  5040 bwcon[46,38]                0                          -0 
  5041 bwcon[46,39]                0                          -0 
  5042 bwcon[46,40]                0                          -0 
  5043 bwcon[46,41]                0                          -0 
  5044 bwcon[46,42]                0                          -0 
  5045 bwcon[46,43]                0                          -0 
  5046 bwcon[46,44]                0                          -0 
  5047 bwcon[46,45]                0                          -0 
  5048 bwcon[46,46]                0                          -0 
  5049 bwcon[46,47]                0                          -0 
  5050 bwcon[46,48]                0                          -0 
  5051 bwcon[46,49]                0                          -0 
  5052 bwcon[46,50]                0                          -0 
  5053 bwcon[46,51]                0                          -0 
  5054 bwcon[46,52]                0                          -0 
  5055 bwcon[46,53]                0                     65.7709 
  5056 bwcon[46,54]                0                          -0 
  5057 bwcon[46,55]                0                          -0 
  5058 bwcon[46,56]                0                          -0 
  5059 bwcon[46,57]                0                          -0 
  5060 bwcon[46,58]                0                          -0 
  5061 bwcon[46,59]                0                     88.6076 
  5062 bwcon[46,60]                0                          -0 
  5063 bwcon[46,61]                0                          -0 
  5064 bwcon[46,62]                0                          -0 
  5065 bwcon[46,63]                0                          -0 
  5066 bwcon[46,64]                0                          -0 
  5067 bwcon[46,65]                0                          -0 
  5068 bwcon[46,66]                0                          -0 
  5069 bwcon[46,67]                0                          -0 
  5070 bwcon[46,68]                0                          -0 
  5071 bwcon[46,69]                0                          -0 
  5072 bwcon[46,70]                0                          -0 
  5073 bwcon[46,71]                0                          -0 
  5074 bwcon[46,72]                0                          -0 
  5075 bwcon[46,73]                0                          -0 
  5076 bwcon[46,74]                0                          -0 
  5077 bwcon[46,75]                0                          -0 
  5078 bwcon[46,76]                0                          -0 
  5079 bwcon[46,77]                0                          -0 
  5080 bwcon[46,78]                0                          -0 
  5081 bwcon[46,79]                0                     87.8172 
  5082 bwcon[46,80]                0                          -0 
  5083 bwcon[46,81]                0                          -0 
  5084 bwcon[46,82]                0                          -0 
  5085 bwcon[46,83]                0                          -0 
  5086 bwcon[46,84]                0                          -0 
  5087 bwcon[46,85]                0                          -0 
  5088 bwcon[46,86]                0                          -0 
  5089 bwcon[46,87]                0                          -0 
  5090 bwcon[46,88]                0                          -0 
  5091 bwcon[46,89]                0                          -0 
  5092 bwcon[46,90]                0                          -0 
  5093 bwcon[46,91]                0                          -0 
  5094 bwcon[46,92]                0                          -0 
  5095 bwcon[46,93]                0                          -0 
  5096 bwcon[46,94]                0                          -0 
  5097 bwcon[46,95]                0                          -0 
  5098 bwcon[46,96]                0                          -0 
  5099 bwcon[46,97]                0                          -0 
  5100 bwcon[46,98]                0                          -0 
  5101 bwcon[46,99]                0                          -0 
  5102 bwcon[47,0]                 0                          -0 
  5103 bwcon[47,1]                 0                          -0 
  5104 bwcon[47,2]                 0                          -0 
  5105 bwcon[47,3]                 0                          -0 
  5106 bwcon[47,4]                 0                          -0 
  5107 bwcon[47,5]                 0                          -0 
  5108 bwcon[47,6]                 0                          -0 
  5109 bwcon[47,7]                 0                          -0 
  5110 bwcon[47,8]                 0                          -0 
  5111 bwcon[47,9]                 0                          -0 
  5112 bwcon[47,10]                0                          -0 
  5113 bwcon[47,11]                0                          -0 
  5114 bwcon[47,12]                0                          -0 
  5115 bwcon[47,13]                0                          -0 
  5116 bwcon[47,14]                0                          -0 
  5117 bwcon[47,15]                0                          -0 
  5118 bwcon[47,16]                0                          -0 
  5119 bwcon[47,17]                0                          -0 
  5120 bwcon[47,18]                0                          -0 
  5121 bwcon[47,19]                0                          -0 
  5122 bwcon[47,20]                0                          -0 
  5123 bwcon[47,21]                0                          -0 
  5124 bwcon[47,22]                0                          -0 
  5125 bwcon[47,23]                0                          -0 
  5126 bwcon[47,24]                0                     58.9935 
  5127 bwcon[47,25]                0                          -0 
  5128 bwcon[47,26]                0                          -0 
  5129 bwcon[47,27]                0                          -0 
  5130 bwcon[47,28]                0                          -0 
  5131 bwcon[47,29]                0                          -0 
  5132 bwcon[47,30]                0                          -0 
  5133 bwcon[47,31]                0                          -0 
  5134 bwcon[47,32]                0                          -0 
  5135 bwcon[47,33]                0                          -0 
  5136 bwcon[47,34]                0                          -0 
  5137 bwcon[47,35]                0                          -0 
  5138 bwcon[47,36]                0                          -0 
  5139 bwcon[47,37]                0                          -0 
  5140 bwcon[47,38]                0                          -0 
  5141 bwcon[47,39]                0                     62.1027 
  5142 bwcon[47,40]                0                          -0 
  5143 bwcon[47,41]                0                          -0 
  5144 bwcon[47,42]                0                          -0 
  5145 bwcon[47,43]                0                          -0 
  5146 bwcon[47,44]                0                          -0 
  5147 bwcon[47,45]                0                          -0 
  5148 bwcon[47,46]                0                          -0 
  5149 bwcon[47,47]                0                          -0 
  5150 bwcon[47,48]                0                          -0 
  5151 bwcon[47,49]                0                          -0 
  5152 bwcon[47,50]                0                     89.4289 
  5153 bwcon[47,51]                0                          -0 
  5154 bwcon[47,52]                0                          -0 
  5155 bwcon[47,53]                0                          -0 
  5156 bwcon[47,54]                0                      52.602 
  5157 bwcon[47,55]                0                     88.1911 
  5158 bwcon[47,56]                0                     69.4143 
  5159 bwcon[47,57]                0                          -0 
  5160 bwcon[47,58]                0                          -0 
  5161 bwcon[47,59]                0                          -0 
  5162 bwcon[47,60]                0                          -0 
  5163 bwcon[47,61]                0                     68.0227 
  5164 bwcon[47,62]                0                          -0 
  5165 bwcon[47,63]                0                          -0 
  5166 bwcon[47,64]                0                          -0 
  5167 bwcon[47,65]                0                          -0 
  5168 bwcon[47,66]                0                          -0 
  5169 bwcon[47,67]                0                          -0 
  5170 bwcon[47,68]                0                          -0 
  5171 bwcon[47,69]                0                          -0 
  5172 bwcon[47,70]                0                          -0 
  5173 bwcon[47,71]                0                          -0 
  5174 bwcon[47,72]                0                          -0 
  5175 bwcon[47,73]                0                          -0 
  5176 bwcon[47,74]                0                          -0 
  5177 bwcon[47,75]                0                          -0 
  5178 bwcon[47,76]                0                          -0 
  5179 bwcon[47,77]                0                          -0 
  5180 bwcon[47,78]                0                          -0 
  5181 bwcon[47,79]                0                          -0 
  5182 bwcon[47,80]                0                          -0 
  5183 bwcon[47,81]                0                          -0 
  5184 bwcon[47,82]                0                          -0 
  5185 bwcon[47,83]                0                          -0 
  5186 bwcon[47,84]                0                          -0 
  5187 bwcon[47,85]                0                          -0 
  5188 bwcon[47,86]                0                          -0 
  5189 bwcon[47,87]                0                          -0 
  5190 bwcon[47,88]                0                          -0 
  5191 bwcon[47,89]                0                          -0 
  5192 bwcon[47,90]                0                          -0 
  5193 bwcon[47,91]                0                          -0 
  5194 bwcon[47,92]                0                          -0 
  5195 bwcon[47,93]                0                          -0 
  5196 bwcon[47,94]                0                          -0 
  5197 bwcon[47,95]                0                          -0 
  5198 bwcon[47,96]                0                          -0 
  5199 bwcon[47,97]                0                          -0 
  5200 bwcon[47,98]                0                          -0 
  5201 bwcon[47,99]                0                          -0 
  5202 bwcon[48,0]                 0                          -0 
  5203 bwcon[48,1]                 0                          -0 
  5204 bwcon[48,2]                 0                          -0 
  5205 bwcon[48,3]                 0                          -0 
  5206 bwcon[48,4]                 0                          -0 
  5207 bwcon[48,5]                 0                          -0 
  5208 bwcon[48,6]                 0                          -0 
  5209 bwcon[48,7]                 0                          -0 
  5210 bwcon[48,8]                 0                          -0 
  5211 bwcon[48,9]                 0                          -0 
  5212 bwcon[48,10]                0                          -0 
  5213 bwcon[48,11]                0                     68.4085 
  5214 bwcon[48,12]                0                          -0 
  5215 bwcon[48,13]                0                     66.2544 
  5216 bwcon[48,14]                0                          -0 
  5217 bwcon[48,15]                0                     74.1508 
  5218 bwcon[48,16]                0                          -0 
  5219 bwcon[48,17]                0                          -0 
  5220 bwcon[48,18]                0                          -0 
  5221 bwcon[48,19]                0                          -0 
  5222 bwcon[48,20]                0                          -0 
  5223 bwcon[48,21]                0                          -0 
  5224 bwcon[48,22]                0                          -0 
  5225 bwcon[48,23]                0                          -0 
  5226 bwcon[48,24]                0                     66.4173 
  5227 bwcon[48,25]                0                          -0 
  5228 bwcon[48,26]                0                          -0 
  5229 bwcon[48,27]                0                          -0 
  5230 bwcon[48,28]                0                          -0 
  5231 bwcon[48,29]                0                          -0 
  5232 bwcon[48,30]                0                          -0 
  5233 bwcon[48,31]                0                          -0 
  5234 bwcon[48,32]                0                          -0 
  5235 bwcon[48,33]                0                     73.8332 
  5236 bwcon[48,34]                0                          -0 
  5237 bwcon[48,35]                0                          -0 
  5238 bwcon[48,36]                0                     85.0759 
  5239 bwcon[48,37]                0                          -0 
  5240 bwcon[48,38]                0                          -0 
  5241 bwcon[48,39]                0                      85.111 
  5242 bwcon[48,40]                0                          -0 
  5243 bwcon[48,41]                0                          -0 
  5244 bwcon[48,42]                0                          -0 
  5245 bwcon[48,43]                0                          -0 
  5246 bwcon[48,44]                0                          -0 
  5247 bwcon[48,45]                0                          -0 
  5248 bwcon[48,46]                0                          -0 
  5249 bwcon[48,47]                0                          -0 
  5250 bwcon[48,48]                0                          -0 
  5251 bwcon[48,49]                0                          -0 
  5252 bwcon[48,50]                0                          -0 
  5253 bwcon[48,51]                0                          -0 
  5254 bwcon[48,52]                0                          -0 
  5255 bwcon[48,53]                0                          -0 
  5256 bwcon[48,54]                0                          -0 
  5257 bwcon[48,55]                0                     92.1367 
  5258 bwcon[48,56]                0                          -0 
  5259 bwcon[48,57]                0                      54.077 
  5260 bwcon[48,58]                0                          -0 
  5261 bwcon[48,59]                0                          -0 
  5262 bwcon[48,60]                0                          -0 
  5263 bwcon[48,61]                0                          -0 
  5264 bwcon[48,62]                0                          -0 
  5265 bwcon[48,63]                0                          -0 
  5266 bwcon[48,64]                0                          -0 
  5267 bwcon[48,65]                0                          -0 
  5268 bwcon[48,66]                0                          -0 
  5269 bwcon[48,67]                0                          -0 
  5270 bwcon[48,68]                0                          -0 
  5271 bwcon[48,69]                0                          -0 
  5272 bwcon[48,70]                0                          -0 
  5273 bwcon[48,71]                0                          -0 
  5274 bwcon[48,72]                0                     50.5197 
  5275 bwcon[48,73]                0                          -0 
  5276 bwcon[48,74]                0                          -0 
  5277 bwcon[48,75]                0                          -0 
  5278 bwcon[48,76]                0                          -0 
  5279 bwcon[48,77]                0                     54.3205 
  5280 bwcon[48,78]                0                          -0 
  5281 bwcon[48,79]                0                          -0 
  5282 bwcon[48,80]                0                          -0 
  5283 bwcon[48,81]                0                          -0 
  5284 bwcon[48,82]                0                          -0 
  5285 bwcon[48,83]                0                          -0 
  5286 bwcon[48,84]                0                          -0 
  5287 bwcon[48,85]                0                          -0 
  5288 bwcon[48,86]                0                          -0 
  5289 bwcon[48,87]                0                          -0 
  5290 bwcon[48,88]                0                          -0 
  5291 bwcon[48,89]                0                          -0 
  5292 bwcon[48,90]                0                          -0 
  5293 bwcon[48,91]                0                     61.1929 
  5294 bwcon[48,92]                0                          -0 
  5295 bwcon[48,93]                0                          -0 
  5296 bwcon[48,94]                0                          -0 
  5297 bwcon[48,95]                0                          -0 
  5298 bwcon[48,96]                0                          -0 
  5299 bwcon[48,97]                0                          -0 
  5300 bwcon[48,98]                0                          -0 
  5301 bwcon[48,99]                0                          -0 
  5302 bwcon[49,0]                 0                     55.6923 
  5303 bwcon[49,1]                 0                          -0 
  5304 bwcon[49,2]                 0                          -0 
  5305 bwcon[49,3]                 0                          -0 
  5306 bwcon[49,4]                 0                          -0 
  5307 bwcon[49,5]                 0                          -0 
  5308 bwcon[49,6]                 0                          -0 
  5309 bwcon[49,7]                 0                          -0 
  5310 bwcon[49,8]                 0                          -0 
  5311 bwcon[49,9]                 0                          -0 
  5312 bwcon[49,10]                0                     97.9147 
  5313 bwcon[49,11]                0                     82.1009 
  5314 bwcon[49,12]                0                          -0 
  5315 bwcon[49,13]                0                          -0 
  5316 bwcon[49,14]                0                          -0 
  5317 bwcon[49,15]                0                     59.2383 
  5318 bwcon[49,16]                0                          -0 
  5319 bwcon[49,17]                0                          -0 
  5320 bwcon[49,18]                0                          -0 
  5321 bwcon[49,19]                0                          -0 
  5322 bwcon[49,20]                0                          -0 
  5323 bwcon[49,21]                0                          -0 
  5324 bwcon[49,22]                0                          -0 
  5325 bwcon[49,23]                0                          -0 
  5326 bwcon[49,24]                0                          -0 
  5327 bwcon[49,25]                0                     55.0723 
  5328 bwcon[49,26]                0                          -0 
  5329 bwcon[49,27]                0                          -0 
  5330 bwcon[49,28]                0                          -0 
  5331 bwcon[49,29]                0                          -0 
  5332 bwcon[49,30]                0                          -0 
  5333 bwcon[49,31]                0                          -0 
  5334 bwcon[49,32]                0                          -0 
  5335 bwcon[49,33]                0                          -0 
  5336 bwcon[49,34]                0                      87.274 
  5337 bwcon[49,35]                0                          -0 
  5338 bwcon[49,36]                0                          -0 
  5339 bwcon[49,37]                0                          -0 
  5340 bwcon[49,38]                0                     87.9464 
  5341 bwcon[49,39]                0                          -0 
  5342 bwcon[49,40]                0                          -0 
  5343 bwcon[49,41]                0                          -0 
  5344 bwcon[49,42]                0                          -0 
  5345 bwcon[49,43]                0                          -0 
  5346 bwcon[49,44]                0                          -0 
  5347 bwcon[49,45]                0                          -0 
  5348 bwcon[49,46]                0                          -0 
  5349 bwcon[49,47]                0                          -0 
  5350 bwcon[49,48]                0                          -0 
  5351 bwcon[49,49]                0                          -0 
  5352 bwcon[49,50]                0                          -0 
  5353 bwcon[49,51]                0                          -0 
  5354 bwcon[49,52]                0                          -0 
  5355 bwcon[49,53]                0                          -0 
  5356 bwcon[49,54]                0                          -0 
  5357 bwcon[49,55]                0                          -0 
  5358 bwcon[49,56]                0                          -0 
  5359 bwcon[49,57]                0                          -0 
  5360 bwcon[49,58]                0                          -0 
  5361 bwcon[49,59]                0                          -0 
  5362 bwcon[49,60]                0                          -0 
  5363 bwcon[49,61]                0                          -0 
  5364 bwcon[49,62]                0                          -0 
  5365 bwcon[49,63]                0                          -0 
  5366 bwcon[49,64]                0                     87.8172 
  5367 bwcon[49,65]                0                          -0 
  5368 bwcon[49,66]                0                          -0 
  5369 bwcon[49,67]                0                          -0 
  5370 bwcon[49,68]                0                          -0 
  5371 bwcon[49,69]                0                          -0 
  5372 bwcon[49,70]                0                     64.1481 
  5373 bwcon[49,71]                0                          -0 
  5374 bwcon[49,72]                0                          -0 
  5375 bwcon[49,73]                0                          -0 
  5376 bwcon[49,74]                0                          -0 
  5377 bwcon[49,75]                0                          -0 
  5378 bwcon[49,76]                0                          -0 
  5379 bwcon[49,77]                0                          -0 
  5380 bwcon[49,78]                0                          -0 
  5381 bwcon[49,79]                0                          -0 
  5382 bwcon[49,80]                0                     62.4056 
  5383 bwcon[49,81]                0                          -0 
  5384 bwcon[49,82]                0                          -0 
  5385 bwcon[49,83]                0                          -0 
  5386 bwcon[49,84]                0                          -0 
  5387 bwcon[49,85]                0                          -0 
  5388 bwcon[49,86]                0                          -0 
  5389 bwcon[49,87]                0                          -0 
  5390 bwcon[49,88]                0                          -0 
  5391 bwcon[49,89]                0                     95.5342 
  5392 bwcon[49,90]                0                          -0 
  5393 bwcon[49,91]                0                          -0 
  5394 bwcon[49,92]                0                          -0 
  5395 bwcon[49,93]                0                          -0 
  5396 bwcon[49,94]                0                          -0 
  5397 bwcon[49,95]                0                          -0 
  5398 bwcon[49,96]                0                          -0 
  5399 bwcon[49,97]                0                          -0 
  5400 bwcon[49,98]                0                          -0 
  5401 bwcon[49,99]                0                          -0 
  5402 bwcon[50,0]                 0                          -0 
  5403 bwcon[50,1]                 0                          -0 
  5404 bwcon[50,2]                 0                          -0 
  5405 bwcon[50,3]                 0                     98.7185 
  5406 bwcon[50,4]                 0                     96.0775 
  5407 bwcon[50,5]                 0                          -0 
  5408 bwcon[50,6]                 0                     63.8295 
  5409 bwcon[50,7]                 0                          -0 
  5410 bwcon[50,8]                 0                          -0 
  5411 bwcon[50,9]                 0                          -0 
  5412 bwcon[50,10]                0                          -0 
  5413 bwcon[50,11]                0                     70.1809 
  5414 bwcon[50,12]                0                          -0 
  5415 bwcon[50,13]                0                          -0 
  5416 bwcon[50,14]                0                          -0 
  5417 bwcon[50,15]                0                     81.7391 
  5418 bwcon[50,16]                0                     82.6976 
  5419 bwcon[50,17]                0                          -0 
  5420 bwcon[50,18]                0                          -0 
  5421 bwcon[50,19]                0                          -0 
  5422 bwcon[50,20]                0                          -0 
  5423 bwcon[50,21]                0                          -0 
  5424 bwcon[50,22]                0                          -0 
  5425 bwcon[50,23]                0                          -0 
  5426 bwcon[50,24]                0                          -0 
  5427 bwcon[50,25]                0                          -0 
  5428 bwcon[50,26]                0                          -0 
  5429 bwcon[50,27]                0                          -0 
  5430 bwcon[50,28]                0                          -0 
  5431 bwcon[50,29]                0                          -0 
  5432 bwcon[50,30]                0                          -0 
  5433 bwcon[50,31]                0                          -0 
  5434 bwcon[50,32]                0                          -0 
  5435 bwcon[50,33]                0                          -0 
  5436 bwcon[50,34]                0                          -0 
  5437 bwcon[50,35]                0                          -0 
  5438 bwcon[50,36]                0                          -0 
  5439 bwcon[50,37]                0                          -0 
  5440 bwcon[50,38]                0                          -0 
  5441 bwcon[50,39]                0                          -0 
  5442 bwcon[50,40]                0                          -0 
  5443 bwcon[50,41]                0                          -0 
  5444 bwcon[50,42]                0                          -0 
  5445 bwcon[50,43]                0                          -0 
  5446 bwcon[50,44]                0                          -0 
  5447 bwcon[50,45]                0                          -0 
  5448 bwcon[50,46]                0                          -0 
  5449 bwcon[50,47]                0                     89.4289 
  5450 bwcon[50,48]                0                          -0 
  5451 bwcon[50,49]                0                          -0 
  5452 bwcon[50,50]                0                          -0 
  5453 bwcon[50,51]                0                     86.2187 
  5454 bwcon[50,52]                0                          -0 
  5455 bwcon[50,53]                0                          -0 
  5456 bwcon[50,54]                0                     78.8873 
  5457 bwcon[50,55]                0                          -0 
  5458 bwcon[50,56]                0                          -0 
  5459 bwcon[50,57]                0                          -0 
  5460 bwcon[50,58]                0                          -0 
  5461 bwcon[50,59]                0                          -0 
  5462 bwcon[50,60]                0                          -0 
  5463 bwcon[50,61]                0                          -0 
  5464 bwcon[50,62]                0                          -0 
  5465 bwcon[50,63]                0                          -0 
  5466 bwcon[50,64]                0                          -0 
  5467 bwcon[50,65]                0                          -0 
  5468 bwcon[50,66]                0                          -0 
  5469 bwcon[50,67]                0                          -0 
  5470 bwcon[50,68]                0                          -0 
  5471 bwcon[50,69]                0                          -0 
  5472 bwcon[50,70]                0                          -0 
  5473 bwcon[50,71]                0                          -0 
  5474 bwcon[50,72]                0                          -0 
  5475 bwcon[50,73]                0                     90.1783 
  5476 bwcon[50,74]                0                          -0 
  5477 bwcon[50,75]                0                          -0 
  5478 bwcon[50,76]                0                          -0 
  5479 bwcon[50,77]                0                          -0 
  5480 bwcon[50,78]                0                          -0 
  5481 bwcon[50,79]                0                          -0 
  5482 bwcon[50,80]                0                          -0 
  5483 bwcon[50,81]                0                          -0 
  5484 bwcon[50,82]                0                          -0 
  5485 bwcon[50,83]                0                          -0 
  5486 bwcon[50,84]                0                          -0 
  5487 bwcon[50,85]                0                          -0 
  5488 bwcon[50,86]                0                          -0 
  5489 bwcon[50,87]                0                          -0 
  5490 bwcon[50,88]                0                          -0 
  5491 bwcon[50,89]                0                          -0 
  5492 bwcon[50,90]                0                          -0 
  5493 bwcon[50,91]                0                          -0 
  5494 bwcon[50,92]                0                     58.0851 
  5495 bwcon[50,93]                0                          -0 
  5496 bwcon[50,94]                0                          -0 
  5497 bwcon[50,95]                0                          -0 
  5498 bwcon[50,96]                0                          -0 
  5499 bwcon[50,97]                0                          -0 
  5500 bwcon[50,98]                0                          -0 
  5501 bwcon[50,99]                0                          -0 
  5502 bwcon[51,0]                 0                          -0 
  5503 bwcon[51,1]                 0                     92.3323 
  5504 bwcon[51,2]                 0                          -0 
  5505 bwcon[51,3]                 0                          -0 
  5506 bwcon[51,4]                 0                          -0 
  5507 bwcon[51,5]                 0                          -0 
  5508 bwcon[51,6]                 0                          -0 
  5509 bwcon[51,7]                 0                          -0 
  5510 bwcon[51,8]                 0                          -0 
  5511 bwcon[51,9]                 0                          -0 
  5512 bwcon[51,10]                0                          -0 
  5513 bwcon[51,11]                0                          -0 
  5514 bwcon[51,12]                0                          -0 
  5515 bwcon[51,13]                0                     97.3746 
  5516 bwcon[51,14]                0                          -0 
  5517 bwcon[51,15]                0                          -0 
  5518 bwcon[51,16]                0                          -0 
  5519 bwcon[51,17]                0                          -0 
  5520 bwcon[51,18]                0                          -0 
  5521 bwcon[51,19]                0                          -0 
  5522 bwcon[51,20]                0                          -0 
  5523 bwcon[51,21]                0                          -0 
  5524 bwcon[51,22]                0                          -0 
  5525 bwcon[51,23]                0                          -0 
  5526 bwcon[51,24]                0                          -0 
  5527 bwcon[51,25]                0                          -0 
